,parent,fitness,sigma,sigma_v,covar
0,[8.7878962  5.89998082],112.03689332727635,1.0,[-0.35803551  1.29308647],"[[1. 0.]
 [0. 1.]]"
1,[8.7878962  5.89998082],112.03689332727635,0.8909472522884108,[ 2.36530800e-04 -1.06641975e+00],"[[1. 0.]
 [0. 1.]]"
2,[8.78813273 4.83356107],100.59458952912739,1.4139824580805163,[-2.13989602  2.15045895],"[[1. 0.]
 [0. 1.]]"
3,[6.64823671 6.98402002],92.97558698126824,2.244068194412261,[ 2.94287981 -2.95872772],"[[1. 0.]
 [0. 1.]]"
4,[6.64823671 6.98402002],92.97558698126824,1.999346391759419,[-1.8153489  -0.25008783],"[[1. 0.]
 [0. 1.]]"
5,[4.83288781 6.73393219],68.70264726950147,3.1730730616353546,[-4.52364222 -2.64807977],"[[1. 0.]
 [0. 1.]]"
6,[0.30924559 4.08585241],16.789822771909844,5.035842061172705,[-7.88401528 12.03853837],"[[1. 0.]
 [0. 1.]]"
7,[0.30924559 4.08585241],16.789822771909844,4.4866696473602286,[3.02365645 0.40019178],"[[1. 0.]
 [0. 1.]]"
8,[0.30924559 4.08585241],16.789822771909844,3.9973859942414083,[0.8747449  0.34278363],"[[1. 0.]
 [0. 1.]]"
9,[0.30924559 4.08585241],16.789822771909844,3.5614600679055597,[1.97339654 2.17220004],"[[1. 0.]
 [0. 1.]]"
10,[0.30924559 4.08585241],16.789822771909844,3.173073061635355,[-5.3861461  -3.14180806],"[[1. 0.]
 [0. 1.]]"
11,[0.30924559 4.08585241],16.789822771909844,2.8270407255743946,[ 1.31242663 -0.70386245],"[[1. 0.]
 [0. 1.]]"
12,[1.62167222 3.38198996],14.067676868600813,4.486669647360229,[ 0.56367668 -4.97665518],"[[1. 0.]
 [0. 1.]]"
13,[ 2.1853489  -1.59466522],7.318706981537751,7.120592336162237,[-1.61058914  5.85108524],"[[1. 0.]
 [0. 1.]]"
14,[ 2.1853489  -1.59466522],7.318706981537751,6.344072176569661,[ 2.38098703 -5.2428541 ],"[[1. 0.]
 [0. 1.]]"
15,[ 2.1853489  -1.59466522],7.318706981537751,5.652233674034097,[-2.60736883 -8.35855489],"[[1. 0.]
 [0. 1.]]"
16,[ 2.1853489  -1.59466522],7.318706981537751,5.0358420611727075,[  0.17664784 -16.0226882 ],"[[1. 0.]
 [0. 1.]]"
17,[ 2.1853489  -1.59466522],7.318706981537751,4.48666964736023,[2.36651556 2.09322256],"[[1. 0.]
 [0. 1.]]"
18,[ 2.1853489  -1.59466522],7.318706981537751,3.99738599424141,[1.04882032 1.49204273],"[[1. 0.]
 [0. 1.]]"
19,[ 2.1853489  -1.59466522],7.318706981537751,3.5614600679055615,[-1.30018559 -2.73721536],"[[1. 0.]
 [0. 1.]]"
20,[ 2.1853489  -1.59466522],7.318706981537751,3.173073061635357,[-23.70039268  -7.89677207],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
21,[ 2.1853489  -1.59466522],7.318706981537751,2.8270407255743963,[-10.46499778   3.0475426 ],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
22,[ 2.1853489  -1.59466522],7.318706981537751,2.5187441665579433,[3.49400095 2.63866405],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
23,[ 2.1853489  -1.59466522],7.318706981537751,2.2440681944122627,[-5.06656664  1.0950852 ],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
24,[ 2.1853489  -1.59466522],7.318706981537751,1.9993463917594205,[-4.01849946 -1.78962183],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
25,[ 2.1853489  -1.59466522],7.318706981537751,1.7813121741108042,[-10.18754457  -5.53085113],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
26,[ 2.1853489  -1.59466522],7.318706981537751,1.5870551869919163,[ 1.50063803 -0.91153027],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
27,[ 2.1853489  -1.59466522],7.318706981537751,1.4139824580805178,[0.72754048 3.45519681],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
28,[ 2.1853489  -1.59466522],7.318706981537751,1.2597837858108503,[2.14924273 2.01662107],"[[10.63587463  5.08973975]
 [ 5.08973975  9.74662207]]"
