,sigmas,parents,best_fit
0,0.5,[5.93237948 5.84378652],69.34296717893577
1,0.5813122133623153,[4.09300189 5.70802058],49.33416338711851
2,0.9702482250867177,[3.81468734 4.46527986],34.49056376525431
3,0.8883564891831383,[2.58240787 3.12839808],16.455704928115196
4,1.6213159184484747,[ 1.26064206 -0.22645958],1.6405023510447894
5,1.19156824554669,[ 0.27561743 -0.48559962],0.31177195912003586
6,0.5873955605756676,[-0.46931526  0.15363986],0.24386202206721355
7,0.4236823501586509,[-0.14850264  0.09850005],0.031755293775452276
8,0.4634302462991601,[-0.01615568  0.09599298],0.009475658945527158
9,0.3489601384750477,[0.05270584 0.01148004],0.0029096965404196602
10,0.19226579128293123,[ 0.02957607 -0.00877607],0.0009517634276299109
11,0.04073587200475263,[ 0.02396111 -0.0048144 ],0.0005973130554989317
12,0.025741683097304985,[0.02043442 0.00338449],0.000429020334996968
13,0.022969983885107854,[-0.0009385   0.00236263],6.462778863802713e-06
14,0.021022663021663217,[ 0.00174472 -0.00011156],3.056493942948683e-06
15,0.013243794186989837,[0.00243364 0.00168615],8.765696086363712e-06
16,0.0031191080126253645,[0.00097998 0.00166932],3.747004845637196e-06
17,0.001244060517739391,[0.0006446 0.0002686],4.876525699478375e-07
18,0.0005841326923865876,[ 0.00017191 -0.00015379],5.32020723253944e-08
19,0.0002265083155524681,[-0.00010122 -0.00010911],2.215046323129698e-08
20,4.953322676619223e-05,[ 2.75972203e-07 -1.86987209e-05],3.4971832421033765e-10
21,8.480394554602425e-06,[-1.62222757e-06 -1.04819230e-05],1.1250233243509769e-10
22,5.418585948981528e-06,[3.07148047e-06 2.23525113e-07],9.48395577659362e-12
23,5.789444743126745e-06,[-1.73499026e-06 -1.51640391e-07],3.0331860248474018e-12
24,3.058184439383282e-06,[ 6.61318026e-08 -1.22019023e-06],1.493237615847206e-12
25,3.7826604156401527e-06,[1.54961581e-07 1.03488893e-07],3.472304253420524e-14
26,2.762336303452969e-06,[-2.91521579e-07  5.27319032e-08],8.776548484419847e-14
27,1.998649976418184e-06,[-2.46445955e-07  4.50901151e-07],2.6404745663757604e-13
28,6.912148653804945e-07,[ 2.86279758e-07 -8.75687051e-08],8.962437814756e-14
29,3.666733552565717e-07,[ 9.93573925e-08 -1.42905341e-07],3.029382785648449e-14
30,2.9021858592448073e-07,[-6.75395426e-08  1.82729625e-08],4.8954909706794436e-15
31,9.004696948969303e-08,[-7.45546528e-08 -3.28559479e-08],6.637909559344679e-15
32,1.1412981393831584e-07,[-3.64898279e-08  3.58883118e-09],1.3443872497322386e-15
33,5.243490351806469e-08,[ 3.70143835e-08 -1.93396547e-08],1.744086827738179e-15
34,3.944070782569953e-08,[ 3.73876514e-09 -7.03235877e-09],6.343243461632041e-17
35,3.0660313448339014e-08,[2.53420038e-09 9.70512949e-09],1.0061170992125554e-16
36,1.039465735485871e-08,[-5.01103384e-09 -1.21346048e-09],2.658294642647937e-17
37,8.621653131516332e-09,[-4.88709392e-10  2.65523124e-09],7.28908982432017e-18
38,3.6848672867162096e-09,[-1.05096297e-09  1.16234162e-09],2.4555612069163003e-18
39,1.2586635710064346e-09,[-1.14937427e-10  2.07164349e-10],5.612767977146088e-20
40,8.854691520973736e-10,[ 1.10028543e-10 -2.86381904e-11],1.2926426169419594e-20
41,2.1815331348559261e-10,[1.61367090e-10 1.20089257e-10],4.04607675839872e-20
42,1.5822279585570696e-10,[1.54353136e-10 2.31030461e-11],2.4358641443766044e-20
43,1.4080200377435577e-10,[-7.04045223e-11  1.52824557e-11],5.190350205601299e-21
44,3.1407911323586025e-11,[-3.94368215e-11  2.42395895e-11],2.1428205915398062e-21
45,2.610897658536153e-11,[-1.09932309e-11 -3.37061947e-11],1.2569586885032311e-21
46,4.221631989984537e-11,[-1.67476783e-11  4.83143051e-13],2.807181555134154e-22
47,1.8458193902844013e-11,[4.61405614e-12 5.74063832e-12],5.424444238910646e-23
48,2.9866676392310183e-11,[1.56520895e-12 2.85986514e-12],1.0628707706687388e-23
49,5.961291710658577e-12,[-2.26498062e-12  5.87663044e-13],5.475485039800809e-24
50,2.1683607780617387e-12,[-5.97618015e-13 -3.23495440e-13],4.617965912404583e-25
51,5.624830864184628e-13,[-4.58488987e-13  6.53039695e-14],2.144767595209899e-25
52,4.0506159314244024e-13,[3.60685326e-15 2.65087713e-13],7.028450471709384e-26
53,2.974964736834214e-13,[-1.2407509e-13  3.7316149e-15],1.540855289020031e-26
54,7.955488716327302e-14,[ 2.59578473e-14 -1.98514835e-14],1.0678912339802452e-27
55,4.723486542254954e-14,[ 1.34189383e-15 -8.93743490e-15],8.167842163693369e-29
56,5.012884414418952e-14,[ 1.52205142e-15 -8.78322687e-15],7.946171471907915e-29
57,3.451056840536222e-14,[-8.27829877e-15 -4.28704966e-15],8.690902541408717e-29
58,2.844497651319661e-14,[-9.12236643e-15  8.44405579e-15],1.5451964751264786e-28
59,2.155737820707224e-14,[-3.13277314e-16 -5.44079725e-15],2.970041741281945e-29
60,1.1560691278649037e-14,[-3.20843902e-15  1.50011991e-15],1.254444067171507e-29
61,1.741935923131101e-14,[7.79673653e-16 2.69509037e-15],7.871403108275679e-30
62,7.967836938111687e-15,[2.03626788e-15 5.13408466e-15],3.0505212233249095e-29
63,7.36714378759988e-15,[-1.30302064e-15  3.61507321e-15],1.476661708845476e-29
64,8.917939028187376e-15,[ 3.75146777e-16 -3.06865872e-15],9.557401463058884e-30
65,8.143255740753154e-15,[ 2.37597725e-15 -5.27753100e-16],5.9237912471245216e-30
66,3.6007294741542714e-15,[1.05385302e-15 1.98018970e-15],5.0317574277417736e-30
67,8.140620499266445e-16,[2.52502142e-16 5.94073518e-16],4.16680676171025e-31
68,3.267705859147484e-16,[-1.32355230e-16 -1.22742179e-16],3.258354958602142e-32
69,1.9195999618568744e-16,[-8.11768959e-17  6.13326876e-17],1.0351386996347988e-32
70,1.1949126300616532e-16,[-7.07514726e-17 -7.98405786e-17],1.1380288860952473e-32
71,1.1678763391876733e-16,[ 2.93724604e-17 -6.40629916e-17],4.9668083277312105e-33
72,4.792542055356913e-17,[-2.42167698e-17 -3.57655691e-17],1.8656278763260963e-33
73,1.1518014464401267e-16,[3.15676215e-18 3.96784265e-17],1.5843426805423297e-33
74,1.5209431180418865e-16,[3.07251615e-17 1.36574850e-17],1.1305624458937682e-33
75,2.0257221427432465e-17,[1.19686687e-17 3.33127905e-17],1.252991041333551e-33
76,9.919413558383214e-18,[-4.90098359e-18  7.93313453e-18],8.695426353179026e-35
77,1.2848249665639883e-17,[-1.20944919e-18 -2.30742919e-18],6.786996798818947e-36
78,5.609667869560737e-18,[-9.29730197e-19  1.71949634e-18],3.8210659091876555e-36
79,1.6660271920257e-18,[ 2.38068030e-19 -6.52239599e-20],6.093055189141148e-38
80,6.28983413252872e-19,[-4.14827582e-20 -2.27189714e-19],5.333598555737848e-38
81,2.7224617060654373e-19,[-6.75383375e-20  1.27047801e-19],2.0702570707400278e-38
82,1.163937587750046e-19,[-1.25699917e-19 -2.54502330e-20],1.6448183524340755e-38
83,1.6616662882401296e-19,[ 1.71517743e-20 -6.49086791e-20],4.507319987507865e-39
84,9.76444672695315e-20,[-3.48475739e-20 -5.83298250e-20],4.6167218953987396e-39
85,8.020845000154594e-20,[ 1.79773565e-21 -1.66459386e-20],2.8031912659641834e-40
86,2.1768117247571674e-20,[-5.18650197e-21  6.96428348e-21],7.540104711077113e-41
87,1.1646459201577475e-20,[ 1.44820577e-21 -1.06651470e-21],3.234753558475884e-42
88,5.7637441276711455e-21,[ 1.64759598e-21 -2.90475810e-22],2.7989487021065664e-42
89,1.1473019380276214e-21,[ 1.93540496e-22 -8.84427073e-22],8.196691712885126e-43
90,8.146623778359658e-22,[-1.34277060e-22  4.13890048e-23],1.9743378426525075e-44
91,2.8564130273272474e-22,[1.12762252e-22 2.03480328e-23],1.312936792461865e-44
92,1.5653929746190197e-22,[ 5.25436750e-23 -3.89771609e-23],4.2800568541739167e-45
93,7.982917886252546e-23,[ 8.61004085e-24 -4.66182303e-24],9.58653974270524e-47
94,9.016404267144435e-23,[-1.09274935e-23  5.27240098e-24],1.4720832622114504e-46
95,2.369864558485838e-23,[2.60394600e-24 2.89150049e-24],1.514130985313113e-47
96,1.9331238918069717e-24,[4.34455479e-24 2.72807244e-24],2.631753558390281e-47
97,5.767688237431139e-24,[2.36134666e-24 1.10361815e-24],6.793931096870888e-48
98,8.314798950265267e-24,[-4.04993302e-25  1.66431954e-25],1.917191704411274e-49
99,7.583132021366336e-25,[-7.25890696e-25 -7.00454507e-26],5.318236670218127e-49
100,6.95344741829666e-25,[-1.07194293e-25  1.03993125e-25],2.2305186357041225e-50
