,parent,fitness,sigma,sigma_v,covar
0,[-5.43281158 -3.80187395],43.96968721251164,1.0,[-1.82934327 -0.55684072],"[[1. 0.]
 [0. 1.]]"
1,[-5.43281158 -3.80187395],43.96968721251164,0.8909472522884108,[-0.20078902  0.56421793],"[[1. 0.]
 [0. 1.]]"
2,[-5.6336006  -3.23765602],42.219872224929716,1.4139824580805163,[-0.57779358  1.32969168],"[[1. 0.]
 [0. 1.]]"
3,[-5.6336006  -3.23765602],42.219872224929716,1.259783785810849,[-0.39572889  0.26951268],"[[1. 0.]
 [0. 1.]]"
4,[-5.6336006  -3.23765602],42.219872224929716,1.1224009024456676,[ 0.82744377 -0.29415374],"[[1. 0.]
 [0. 1.]]"
5,[-4.80615683 -3.53180975],35.572823621842566,1.781312174110803,[ 1.0611297 -1.4689665],"[[1. 0.]
 [0. 1.]]"
6,[-4.80615683 -3.53180975],35.572823621842566,1.587055186991915,[0.49744903 1.40909017],"[[1. 0.]
 [0. 1.]]"
7,[-4.3087078  -2.12271959],23.070901368368894,2.518744166557942,[-2.61472435 -1.93700966],"[[1. 0.]
 [0. 1.]]"
8,[-4.3087078  -2.12271959],23.070901368368894,2.244068194412262,[-1.10846912 -1.33823898],"[[1. 0.]
 [0. 1.]]"
9,[-4.3087078  -2.12271959],23.070901368368894,1.9993463917594199,[-2.60879385  1.97128366],"[[1. 0.]
 [0. 1.]]"
10,[-4.3087078  -2.12271959],23.070901368368894,1.7813121741108036,[0.20066119 1.11542335],"[[1. 0.]
 [0. 1.]]"
11,[-4.10804661 -1.00729624],17.890692686233212,2.8270407255743955,[-5.11583464  3.47506706],"[[1. 0.]
 [0. 1.]]"
12,[-4.10804661 -1.00729624],17.890692686233212,2.518744166557943,[0.46205602 1.6493072 ],"[[1. 0.]
 [0. 1.]]"
13,[-3.6459906   0.64201096],13.705425491680383,3.9973859942414105,[ 2.80530582 -2.11640439],"[[1. 0.]
 [0. 1.]]"
